Username,rawTweet,hashtags,mentions,fromUser
HPtAmd,"@IvanDuque @BArevalodeLeon @PNSpedronuno @JustinTrudeau @MichelBarnier @VP @EmmanuelMacron @petrogustavo @Elisabeth_Borne @GabrielAttal @BorisJohnson @Keir_Starmer @POTUS @koninklijkhuis @sanchezcastejon @CasaReal @govpt @SwedishPM @RoyalFamily @MLP_officiel @vonderleyen     
A do Panamá vale 16 BILIÕES.",,"IvanDuque, BArevalodeLeon, PNSpedronuno, JustinTrudeau, MichelBarnier, VP, EmmanuelMacron, petrogustavo, Elisabeth_Borne, GabrielAttal, BorisJohnson, Keir_Starmer, POTUS, koninklijkhuis, sanchezcastejon, CasaReal, govpt, SwedishPM, RoyalFamily, MLP_officiel, vonderleyen",
MARODROS,SOLO PARA EL SHOW LLEVARON 10 Bolsas @BArevalodeLeon NO JODA DÉJESE DE TEATROS 🎭 CORRUPTOS !!!,,BArevalodeLeon,arronchopa
arronchopa,"Que ARAÑA este tipo 10 pts bolsas llegó a dar y lo encararon y le dijeron que era un bagre, ahí se lo dijeron....🤬🤬🤬🤬
#FueraSemilla
#YONOTENGOPRESIDNTE
#SemillaDelMal https://t.co/FbbZqMUVfA","FueraSemilla, YONOTENGOPRESIDNTE, SemillaDelMal",,
max16192,@IvanDuque @BArevalodeLeon Esta buscando quien le de asilo 🐖?,,"IvanDuque, BArevalodeLeon",
Skiperk91,"@IvanDuque @BArevalodeLeon Pronto la @FiscaliaCol te va a enviar una carta de amor bb , otro buen muchacho del Matarife va a caer y eso que todo fue a espaldas. @pegasus",,"IvanDuque, BArevalodeLeon, FiscaliaCol, Pegasus",
EdwardAdam63,@IvanDuque @BArevalodeLeon Ya viste el mierdero que hay con @Aire_Energia en la Región Caribe???,,"IvanDuque, BArevalodeLeon, Aire_Energia",
EmisorasUnidas,"#AHORA El mandatario @BArevalodeLeon participará este jueves 12 de septiembre en la sesión solemne en el Congreso de la República, programada para las 10:00 horas, con motivo de los 203 años de Independencia | Vía Léster Ramírez https://t.co/Tf2vAuwaGa",AHORA,BArevalodeLeon,
ArtbyFan,@festivalesgt @cerbatanameso @BArevalodeLeon,,"festivalesgt, cerbatanameso, BArevalodeLeon",
LuchoRiveraV,"@IvanDuque @BArevalodeLeon Todo lo q ud hace, es productivo para su bolsillo, MARRANO HIJUEPUTA hampón 🤬🖕🏻🖕🏻 https://t.co/wjhjiwh2u5",,"IvanDuque, BArevalodeLeon",
e9daa1c40e864e2,@IvanDuque @BArevalodeLeon Productiva 🤣 🤣 🤣,,"IvanDuque, BArevalodeLeon",
